Date,Process,Product,Shift,Team,Target_Units,Actual_Units,Cycle_Time_Min,Waiting_Time_Min,Downtime_Min,Defects,Rework_Units,Quality_Units,Defect_Rate_%,Productivity_%,Lead_Time_Min,Availability_%
2026-03-28,Inspection,Product B,Morning,Team A,110,100,14.12,10.03,13.06,0,0,100,0.0,90.91,24.15,93.47
2026-02-28,Packaging,Product B,Night,Team B,89,87,11.52,1.73,13.01,1,0,86,1.15,97.75,13.25,93.5
2026-02-07,Assembly,Product B,Morning,Team D,113,95,23.5,18.93,25.52,2,2,91,2.11,84.07,42.43,87.24
2026-03-29,Packaging,Product A,Evening,Team C,97,85,13.67,8.93,1.08,0,0,85,0.0,87.63,22.6,99.46
2026-01-10,Cutting,Product A,Evening,Team A,96,94,11.52,4.11,0.01,0,0,94,0.0,97.92,15.63,100.0
2026-03-30,Assembly,Product C,Morning,Team A,98,74,20.22,25.89,18.76,2,1,71,2.7,75.51,46.11,90.62
2026-01-14,Inspection,Product A,Evening,Team C,112,104,10.79,5.24,15.39,1,0,103,0.96,92.86,16.03,92.3
2026-01-26,Cutting,Product A,Morning,Team B,80,76,7.17,0.0,13.14,0,0,76,0.0,95.0,7.17,93.43
2026-03-15,Cutting,Product C,Night,Team D,110,106,12.24,10.11,4.36,1,1,104,0.94,96.36,22.35,97.82
2026-03-08,Assembly,Product A,Evening,Team C,111,93,20.98,10.62,22.61,1,0,92,1.08,83.78,31.6,88.7
2026-03-29,Packaging,Product B,Evening,Team D,113,107,7.97,3.04,2.66,0,2,105,0.0,94.69,11.01,98.67
2026-03-09,Inspection,Product A,Evening,Team A,120,106,17.42,13.15,9.86,1,2,103,0.94,88.33,30.57,95.07
2026-02-27,Packaging,Product C,Morning,Team B,112,104,10.21,0.0,0.0,0,0,104,0.0,92.86,10.21,100.0
2026-02-01,Packaging,Product B,Night,Team A,101,97,14.26,4.52,1.42,1,2,94,1.03,96.04,18.78,99.29
2026-01-01,Assembly,Product C,Morning,Team C,99,89,21.59,12.27,23.62,1,1,87,1.12,89.9,33.86,88.19
2026-01-12,Inspection,Product A,Morning,Team A,95,91,10.8,7.75,12.52,1,0,90,1.1,95.79,18.55,93.74
2026-01-27,Cutting,Product B,Morning,Team B,113,110,11.08,3.54,1.92,0,0,110,0.0,97.35,14.62,99.04
2026-01-04,Cutting,Product B,Evening,Team B,96,91,11.38,10.6,8.31,3,2,86,3.3,94.79,21.98,95.84
2026-02-15,Packaging,Product A,Evening,Team A,103,91,4.92,7.82,13.35,0,0,91,0.0,88.35,12.74,93.32
2026-03-11,Inspection,Product A,Evening,Team A,83,81,12.6,9.98,4.19,0,0,81,0.0,97.59,22.58,97.9
2026-03-28,Cutting,Product A,Evening,Team C,93,106,11.03,5.58,7.76,0,0,106,0.0,113.98,16.61,96.12
2026-02-14,Assembly,Product C,Morning,Team D,90,75,21.81,17.36,34.06,0,0,75,0.0,83.33,39.17,82.97
2026-03-20,Inspection,Product B,Night,Team A,97,89,14.61,10.08,16.55,0,1,88,0.0,91.75,24.69,91.72
2026-03-30,Packaging,Product B,Morning,Team B,100,102,7.81,7.43,3.56,1,0,101,0.98,102.0,15.24,98.22
2026-03-19,Inspection,Product B,Evening,Team A,109,113,12.61,3.55,18.98,0,0,113,0.0,103.67,16.16,90.51
2026-02-11,Assembly,Product B,Morning,Team D,97,77,26.7,23.84,27.85,3,0,74,3.9,79.38,50.54,86.08
2026-01-30,Assembly,Product B,Night,Team B,86,47,31.83,29.78,33.3,3,1,43,6.38,54.65,61.61,83.35
2026-03-30,Assembly,Product A,Morning,Team D,102,83,25.18,17.99,31.19,2,2,79,2.41,81.37,43.17,84.4
2026-01-22,Inspection,Product B,Morning,Team A,82,91,12.35,7.3,9.94,1,1,89,1.1,110.98,19.65,95.03
2026-02-07,Packaging,Product A,Evening,Team A,114,115,8.0,5.6,9.88,0,0,115,0.0,100.88,13.6,95.06
2026-01-07,Assembly,Product C,Morning,Team C,111,85,23.01,7.81,26.74,3,1,81,3.53,76.58,30.82,86.63
2026-03-13,Assembly,Product C,Morning,Team C,89,70,23.66,18.53,32.42,5,4,61,7.14,78.65,42.19,83.79
2026-02-28,Cutting,Product A,Evening,Team D,90,82,10.04,4.55,5.71,0,0,82,0.0,91.11,14.59,97.14
2026-01-08,Inspection,Product B,Morning,Team D,81,82,14.74,7.8,12.25,0,0,82,0.0,101.23,22.54,93.88
2026-01-20,Packaging,Product A,Night,Team D,94,83,14.11,9.14,14.43,0,0,83,0.0,88.3,23.25,92.78
2026-02-19,Cutting,Product C,Morning,Team C,81,77,13.84,4.7,13.22,0,0,77,0.0,95.06,18.54,93.39
2026-02-18,Cutting,Product C,Evening,Team B,118,108,14.91,0.44,2.85,0,0,108,0.0,91.53,15.35,98.58
2026-03-14,Inspection,Product C,Evening,Team B,85,78,11.09,7.43,18.1,2,2,74,2.56,91.76,18.52,90.95
2026-01-24,Cutting,Product A,Evening,Team A,107,112,11.03,5.27,11.8,0,0,112,0.0,104.67,16.3,94.1
2026-03-25,Packaging,Product A,Evening,Team B,103,101,9.02,4.46,0.0,0,0,101,0.0,98.06,13.48,100.0
2026-02-10,Assembly,Product A,Evening,Team B,89,67,23.65,18.79,32.81,3,2,62,4.48,75.28,42.44,83.6
2026-03-16,Cutting,Product A,Night,Team A,113,101,11.54,14.93,27.94,0,0,101,0.0,89.38,26.47,86.03
2026-01-22,Packaging,Product A,Morning,Team A,84,73,5.73,0.0,13.01,1,2,70,1.37,86.9,5.73,93.5
2026-01-04,Cutting,Product A,Morning,Team C,116,107,11.2,5.7,17.56,0,0,107,0.0,92.24,16.9,91.22
2026-01-05,Assembly,Product C,Evening,Team B,110,86,24.56,26.2,22.56,1,0,85,1.16,78.18,50.76,88.72
2026-02-03,Cutting,Product A,Evening,Team D,106,108,11.19,0.0,0.0,2,1,105,1.85,101.89,11.19,100.0
2026-03-27,Cutting,Product A,Morning,Team B,116,111,9.25,5.72,0.0,1,1,109,0.9,95.69,14.97,100.0
2026-01-05,Cutting,Product C,Morning,Team D,96,102,8.58,2.66,10.53,1,1,100,0.98,106.25,11.24,94.74
2026-02-03,Cutting,Product B,Night,Team C,91,81,15.23,8.09,10.55,0,0,81,0.0,89.01,23.32,94.72
2026-01-10,Cutting,Product B,Evening,Team A,86,83,11.33,1.38,3.51,1,1,81,1.2,96.51,12.71,98.24
2026-03-25,Cutting,Product B,Night,Team A,117,104,14.17,6.7,15.71,1,0,103,0.96,88.89,20.87,92.14
2026-03-02,Inspection,Product C,Evening,Team C,96,89,17.81,15.37,15.69,1,1,87,1.12,92.71,33.18,92.16
2026-03-10,Inspection,Product B,Evening,Team C,114,120,13.61,2.94,3.28,0,0,120,0.0,105.26,16.55,98.36
2026-03-06,Assembly,Product B,Morning,Team B,93,66,25.07,15.0,23.9,1,0,65,1.52,70.97,40.07,88.05
2026-03-01,Assembly,Product B,Night,Team C,119,97,20.79,20.52,39.2,1,0,96,1.03,81.51,41.31,80.4
2026-03-11,Assembly,Product A,Morning,Team D,115,103,18.41,25.99,16.94,1,0,102,0.97,89.57,44.4,91.53
2026-01-01,Packaging,Product A,Evening,Team B,92,81,12.48,2.15,12.22,1,1,79,1.23,88.04,14.63,93.89
2026-03-19,Packaging,Product B,Morning,Team A,99,100,6.97,3.9,4.09,1,1,98,1.0,101.01,10.87,97.96
2026-03-08,Cutting,Product A,Evening,Team B,112,116,8.7,3.39,12.27,1,2,113,0.86,103.57,12.09,93.86
2026-03-08,Cutting,Product B,Evening,Team D,89,88,10.91,1.22,15.58,0,0,88,0.0,98.88,12.13,92.21
2026-02-05,Cutting,Product A,Evening,Team D,80,80,10.8,4.06,13.45,2,1,77,2.5,100.0,14.86,93.28
2026-03-14,Assembly,Product A,Night,Team D,91,79,24.04,37.36,41.57,0,0,79,0.0,86.81,61.4,79.22
2026-02-04,Assembly,Product A,Morning,Team D,104,90,25.39,22.26,19.33,2,1,87,2.22,86.54,47.65,90.34
2026-01-05,Assembly,Product C,Evening,Team A,85,64,27.43,13.42,30.11,3,1,60,4.69,75.29,40.85,84.94
2026-03-23,Cutting,Product A,Morning,Team B,93,88,9.23,7.59,3.88,0,1,87,0.0,94.62,16.82,98.06
2026-01-22,Assembly,Product B,Morning,Team A,117,96,21.31,12.32,28.72,0,0,96,0.0,82.05,33.63,85.64
2026-01-10,Assembly,Product C,Morning,Team A,83,73,24.99,11.77,25.08,0,0,73,0.0,87.95,36.76,87.46
2026-02-25,Cutting,Product A,Morning,Team D,82,71,12.08,9.08,11.91,1,0,70,1.41,86.59,21.16,94.04
2026-01-22,Packaging,Product B,Morning,Team D,97,94,7.63,8.64,9.02,1,0,93,1.06,96.91,16.27,95.49
2026-03-19,Cutting,Product A,Evening,Team A,80,79,7.52,9.18,3.94,0,1,78,0.0,98.75,16.7,98.03
2026-02-09,Packaging,Product A,Evening,Team C,81,77,7.36,2.12,0.0,0,0,77,0.0,95.06,9.48,100.0
2026-01-01,Cutting,Product B,Evening,Team C,87,87,10.88,4.33,14.23,0,0,87,0.0,100.0,15.21,92.88
2026-03-27,Packaging,Product C,Morning,Team A,84,94,11.56,7.0,8.12,0,0,94,0.0,111.9,18.56,95.94
2026-02-16,Packaging,Product A,Morning,Team D,113,110,6.72,5.57,13.9,1,0,109,0.91,97.35,12.29,93.05
2026-01-24,Packaging,Product B,Morning,Team D,85,81,8.81,2.43,6.73,1,0,80,1.23,95.29,11.24,96.64
2026-03-02,Packaging,Product A,Evening,Team C,101,104,10.49,0.0,0.0,1,0,103,0.96,102.97,10.49,100.0
2026-02-17,Inspection,Product B,Night,Team C,108,103,10.8,13.07,20.5,2,2,99,1.94,95.37,23.87,89.75
2026-01-03,Inspection,Product B,Morning,Team B,105,103,15.27,12.32,9.78,0,0,103,0.0,98.1,27.59,95.11
2026-03-10,Inspection,Product B,Evening,Team D,106,104,10.4,3.21,14.05,1,1,102,0.96,98.11,13.61,92.98
2026-02-06,Cutting,Product B,Morning,Team B,94,89,11.73,7.56,5.12,0,0,89,0.0,94.68,19.29,97.44
2026-03-04,Assembly,Product A,Morning,Team D,116,80,27.12,20.62,32.37,1,0,79,1.25,68.97,47.74,83.82
2026-03-22,Assembly,Product B,Morning,Team A,82,55,25.37,23.08,22.22,2,1,52,3.64,67.07,48.45,88.89
2026-02-24,Packaging,Product B,Morning,Team A,84,73,10.21,7.49,4.98,0,0,73,0.0,86.9,17.7,97.51
2026-03-02,Assembly,Product B,Evening,Team D,115,98,20.78,14.57,23.53,2,1,95,2.04,85.22,35.35,88.24
2026-01-23,Assembly,Product A,Night,Team B,82,56,28.34,14.59,23.34,2,3,51,3.57,68.29,42.93,88.33
2026-01-22,Inspection,Product A,Morning,Team B,87,87,13.3,5.87,13.98,2,2,83,2.3,100.0,19.17,93.01
2026-02-07,Assembly,Product A,Evening,Team D,87,70,23.47,22.98,37.59,1,1,68,1.43,80.46,46.45,81.2
2026-03-18,Cutting,Product A,Evening,Team A,81,78,12.05,2.83,6.06,0,0,78,0.0,96.3,14.88,96.97
2026-02-17,Assembly,Product A,Night,Team C,84,56,29.57,22.72,29.99,3,1,52,5.36,66.67,52.29,85.0
2026-02-01,Assembly,Product A,Evening,Team B,103,88,24.0,9.78,11.98,1,0,87,1.14,85.44,33.78,94.01
2026-03-12,Cutting,Product B,Morning,Team A,107,99,10.53,12.01,8.77,0,1,98,0.0,92.52,22.54,95.62
2026-03-18,Assembly,Product A,Evening,Team D,83,63,20.89,19.59,26.49,2,1,60,3.17,75.9,40.48,86.76
2026-03-23,Assembly,Product C,Morning,Team A,118,100,20.53,20.05,18.22,5,4,91,5.0,84.75,40.58,90.89
2026-01-27,Assembly,Product B,Night,Team A,83,62,28.62,24.86,35.0,3,2,57,4.84,74.7,53.48,82.5
2026-03-05,Assembly,Product B,Morning,Team C,108,90,19.91,19.06,20.82,1,0,89,1.11,83.33,38.97,89.59
2026-02-23,Inspection,Product B,Evening,Team D,112,108,14.39,7.02,10.94,0,0,108,0.0,96.43,21.41,94.53
2026-02-10,Assembly,Product B,Morning,Team A,101,82,23.38,16.77,24.8,1,0,81,1.22,81.19,40.15,87.6
2026-02-05,Packaging,Product B,Morning,Team C,100,100,9.28,2.29,0.0,0,0,100,0.0,100.0,11.57,100.0
2026-01-11,Packaging,Product C,Night,Team C,84,78,5.1,18.29,7.21,0,0,78,0.0,92.86,23.39,96.4
2026-01-25,Assembly,Product B,Evening,Team D,89,87,18.21,21.69,28.27,0,0,87,0.0,97.75,39.9,85.86
2026-02-19,Assembly,Product B,Morning,Team A,114,87,27.1,15.56,16.9,0,0,87,0.0,76.32,42.66,91.55
2026-03-21,Assembly,Product B,Night,Team D,94,80,26.34,23.68,21.23,1,1,78,1.25,85.11,50.02,89.38
2026-03-19,Packaging,Product B,Night,Team C,81,78,8.38,5.44,7.43,0,0,78,0.0,96.3,13.82,96.28
2026-01-17,Inspection,Product A,Morning,Team D,109,102,15.72,14.02,22.46,1,1,100,0.98,93.58,29.74,88.77
2026-03-03,Packaging,Product B,Evening,Team B,108,110,9.03,1.36,11.61,0,0,110,0.0,101.85,10.39,94.2
2026-01-08,Assembly,Product B,Evening,Team D,82,70,26.16,17.28,24.12,1,0,69,1.43,85.37,43.44,87.94
2026-03-02,Inspection,Product C,Evening,Team C,82,72,13.61,12.26,19.83,0,0,72,0.0,87.8,25.87,90.08
2026-01-31,Assembly,Product B,Morning,Team A,84,70,23.82,22.96,18.58,3,2,65,4.29,83.33,46.78,90.71
2026-02-10,Inspection,Product B,Morning,Team D,82,86,13.8,8.38,18.05,0,0,86,0.0,104.88,22.18,90.98
2026-03-06,Cutting,Product C,Night,Team D,105,96,14.68,11.27,7.63,0,0,96,0.0,91.43,25.95,96.18
2026-02-08,Inspection,Product B,Night,Team B,85,73,21.17,13.38,23.23,0,0,73,0.0,85.88,34.55,88.38
2026-03-14,Packaging,Product A,Evening,Team C,104,99,11.14,1.69,4.56,0,0,99,0.0,95.19,12.83,97.72
2026-02-18,Cutting,Product A,Night,Team B,87,84,10.44,6.07,10.12,0,0,84,0.0,96.55,16.51,94.94
2026-03-31,Inspection,Product A,Evening,Team C,119,117,13.98,13.92,10.7,1,2,114,0.85,98.32,27.9,94.65
2026-02-27,Cutting,Product A,Evening,Team D,109,97,13.51,4.57,10.66,2,3,92,2.06,88.99,18.08,94.67
2026-01-27,Inspection,Product A,Evening,Team D,95,84,15.65,4.86,9.03,0,0,84,0.0,88.42,20.51,95.48
2026-03-11,Cutting,Product B,Evening,Team A,97,103,10.06,2.93,12.32,0,0,103,0.0,106.19,12.99,93.84
2026-02-06,Packaging,Product B,Evening,Team D,82,82,11.56,8.4,3.5,0,0,82,0.0,100.0,19.96,98.25
2026-02-18,Cutting,Product A,Morning,Team B,82,89,13.04,7.7,12.72,0,3,86,0.0,108.54,20.74,93.64
2026-01-13,Packaging,Product B,Evening,Team C,102,93,14.66,6.24,9.65,0,0,93,0.0,91.18,20.9,95.18
2026-01-11,Packaging,Product A,Morning,Team D,80,79,7.35,2.97,6.63,0,0,79,0.0,98.75,10.32,96.68
2026-02-21,Inspection,Product C,Morning,Team B,106,97,11.88,10.29,9.35,1,1,95,1.03,91.51,22.17,95.32
2026-01-17,Inspection,Product A,Evening,Team B,95,91,12.33,5.43,12.91,1,0,90,1.1,95.79,17.76,93.54
2026-03-31,Inspection,Product B,Morning,Team B,85,73,11.92,6.96,15.3,0,0,73,0.0,85.88,18.88,92.35
2026-03-19,Packaging,Product A,Morning,Team D,101,102,7.04,7.88,19.37,0,0,102,0.0,100.99,14.92,90.32
2026-03-05,Assembly,Product B,Evening,Team B,102,87,20.87,21.35,29.31,0,0,87,0.0,85.29,42.22,85.34
2026-03-08,Inspection,Product A,Night,Team B,110,100,15.41,7.9,23.67,1,1,98,1.0,90.91,23.31,88.16
2026-02-23,Cutting,Product B,Morning,Team B,88,84,11.81,1.58,27.53,0,1,83,0.0,95.45,13.39,86.24
2026-01-06,Inspection,Product A,Morning,Team A,102,93,11.91,8.43,15.1,0,0,93,0.0,91.18,20.34,92.45
2026-02-05,Cutting,Product C,Morning,Team B,114,107,15.26,11.9,11.91,1,1,105,0.93,93.86,27.16,94.04
2026-02-14,Assembly,Product B,Evening,Team A,91,65,26.67,9.63,29.83,3,1,61,4.62,71.43,36.3,85.08
2026-03-24,Assembly,Product B,Evening,Team A,114,95,24.59,16.72,20.53,0,0,95,0.0,83.33,41.31,89.74
2026-01-20,Assembly,Product C,Morning,Team C,109,99,24.07,13.94,27.33,1,1,97,1.01,90.83,38.01,86.34
2026-02-14,Assembly,Product C,Evening,Team A,97,83,26.71,18.51,19.17,1,1,81,1.2,85.57,45.22,90.42
2026-01-31,Inspection,Product A,Morning,Team C,116,101,13.61,6.54,15.89,1,1,99,0.99,87.07,20.15,92.06
2026-01-13,Inspection,Product A,Morning,Team D,119,105,16.01,6.32,10.95,2,3,100,1.9,88.24,22.33,94.52
2026-01-10,Assembly,Product A,Night,Team C,89,69,29.21,15.94,28.57,2,0,67,2.9,77.53,45.15,85.72
2026-02-02,Inspection,Product A,Morning,Team B,120,110,14.09,8.03,18.52,2,2,106,1.82,91.67,22.12,90.74
2026-01-08,Packaging,Product B,Morning,Team A,80,71,9.81,1.86,12.18,0,0,71,0.0,88.75,11.67,93.91
2026-01-07,Cutting,Product C,Morning,Team D,85,85,10.37,0.0,8.03,0,0,85,0.0,100.0,10.37,95.98
2026-02-01,Cutting,Product C,Evening,Team D,81,78,11.89,8.12,4.98,0,0,78,0.0,96.3,20.01,97.51
2026-01-19,Cutting,Product B,Night,Team C,95,92,18.96,13.45,19.57,1,0,91,1.09,96.84,32.41,90.22
2026-02-19,Inspection,Product B,Night,Team A,118,108,13.61,14.61,19.45,0,1,107,0.0,91.53,28.22,90.28
2026-01-02,Assembly,Product C,Morning,Team A,104,93,24.12,9.85,15.17,0,0,93,0.0,89.42,33.97,92.42
2026-01-28,Inspection,Product C,Morning,Team B,105,89,15.77,9.2,10.12,1,1,87,1.12,84.76,24.97,94.94
2026-02-10,Inspection,Product A,Evening,Team A,83,71,15.51,10.7,12.99,0,0,71,0.0,85.54,26.21,93.5
2026-03-28,Assembly,Product B,Morning,Team D,101,85,25.5,11.9,29.6,1,0,84,1.18,84.16,37.4,85.2
2026-02-27,Packaging,Product C,Night,Team A,95,99,5.31,8.66,20.23,0,1,98,0.0,104.21,13.97,89.88
2026-03-21,Inspection,Product A,Evening,Team B,99,88,14.14,7.53,13.7,0,0,88,0.0,88.89,21.67,93.15
2026-01-31,Assembly,Product A,Morning,Team D,90,76,16.86,26.58,32.58,2,0,74,2.63,84.44,43.44,83.71
2026-02-10,Assembly,Product C,Evening,Team D,88,60,26.22,29.15,29.69,0,0,60,0.0,68.18,55.37,85.16
2026-02-07,Assembly,Product C,Morning,Team A,119,94,25.67,11.41,25.0,2,0,92,2.13,78.99,37.08,87.5
2026-03-21,Cutting,Product C,Morning,Team B,102,99,13.2,14.98,7.43,0,1,98,0.0,97.06,28.18,96.28
2026-03-28,Cutting,Product B,Evening,Team C,96,92,9.02,1.34,9.11,0,0,92,0.0,95.83,10.36,95.44
2026-03-28,Packaging,Product A,Evening,Team C,83,80,5.58,7.92,6.79,0,0,80,0.0,96.39,13.5,96.6
2026-03-09,Assembly,Product A,Evening,Team D,111,82,25.33,21.29,11.83,0,0,82,0.0,73.87,46.62,94.08
2026-02-15,Assembly,Product B,Evening,Team D,99,75,25.95,16.38,22.91,1,0,74,1.33,75.76,42.33,88.54
2026-02-18,Inspection,Product B,Night,Team D,95,95,15.78,15.93,14.97,0,0,95,0.0,100.0,31.71,92.52
2026-03-30,Assembly,Product B,Night,Team A,107,84,25.37,25.12,31.45,0,0,84,0.0,78.5,50.49,84.28
2026-01-26,Packaging,Product B,Evening,Team A,85,74,15.09,6.22,5.52,0,0,74,0.0,87.06,21.31,97.24
2026-02-01,Inspection,Product A,Morning,Team C,101,90,14.84,8.92,14.93,2,2,86,2.22,89.11,23.76,92.54
2026-03-22,Assembly,Product B,Evening,Team A,115,82,24.36,21.51,18.03,2,2,78,2.44,71.3,45.87,90.98
2026-02-04,Assembly,Product A,Night,Team B,99,71,27.05,19.92,21.17,1,0,70,1.41,71.72,46.97,89.42
2026-01-22,Packaging,Product A,Morning,Team A,80,84,12.25,3.33,4.91,0,0,84,0.0,105.0,15.58,97.54
2026-02-20,Inspection,Product A,Evening,Team D,89,82,12.58,12.38,16.58,1,0,81,1.22,92.13,24.96,91.71
2026-01-30,Packaging,Product A,Morning,Team A,82,90,4.48,6.32,17.13,1,0,89,1.11,109.76,10.8,91.44
2026-03-22,Cutting,Product C,Morning,Team A,100,97,10.59,7.93,13.69,0,0,97,0.0,97.0,18.52,93.16
2026-03-23,Packaging,Product A,Evening,Team A,94,92,10.79,1.34,0.0,0,0,92,0.0,97.87,12.13,100.0
2026-01-28,Inspection,Product A,Morning,Team A,85,87,10.87,3.82,10.61,0,0,87,0.0,102.35,14.69,94.7
2026-02-17,Cutting,Product B,Evening,Team C,108,92,10.61,2.73,10.54,0,1,91,0.0,85.19,13.34,94.73
2026-03-30,Inspection,Product B,Evening,Team B,87,86,11.48,5.52,13.07,0,0,86,0.0,98.85,17.0,93.46
2026-03-08,Inspection,Product A,Evening,Team D,94,83,16.3,11.14,15.24,2,2,79,2.41,88.3,27.44,92.38
2026-01-20,Cutting,Product A,Morning,Team B,120,120,12.65,8.9,3.5,1,3,116,0.83,100.0,21.55,98.25
2026-02-23,Assembly,Product A,Morning,Team C,82,71,23.59,16.88,24.29,2,0,69,2.82,86.59,40.47,87.86
2026-02-25,Packaging,Product B,Evening,Team C,90,82,10.37,9.72,9.52,0,0,82,0.0,91.11,20.09,95.24
2026-02-28,Assembly,Product A,Evening,Team C,93,83,20.94,25.9,29.54,0,0,83,0.0,89.25,46.84,85.23
2026-01-03,Assembly,Product A,Evening,Team D,100,77,24.46,20.84,24.05,2,1,74,2.6,77.0,45.3,87.98
2026-01-27,Assembly,Product A,Night,Team A,90,69,22.67,20.04,25.52,1,1,67,1.45,76.67,42.71,87.24
2026-03-18,Assembly,Product B,Morning,Team C,119,100,20.14,27.11,13.49,0,0,100,0.0,84.03,47.25,93.26
2026-01-22,Packaging,Product A,Night,Team D,80,75,11.48,9.02,8.84,1,0,74,1.33,93.75,20.5,95.58
2026-01-27,Inspection,Product C,Morning,Team D,118,116,13.71,8.5,8.85,2,2,112,1.72,98.31,22.21,95.58
2026-01-30,Cutting,Product A,Morning,Team C,101,97,13.66,3.64,2.88,1,0,96,1.03,96.04,17.3,98.56
2026-01-16,Packaging,Product B,Evening,Team C,81,79,12.46,0.44,7.99,1,3,75,1.27,97.53,12.9,96.0
2026-01-14,Packaging,Product A,Morning,Team D,84,86,12.45,0.0,6.66,0,0,86,0.0,102.38,12.45,96.67
2026-02-01,Assembly,Product A,Morning,Team C,84,75,21.11,19.47,10.89,1,0,74,1.33,89.29,40.58,94.56
2026-03-20,Packaging,Product A,Morning,Team D,91,93,8.23,0.87,8.29,0,1,92,0.0,102.2,9.1,95.86
2026-01-01,Cutting,Product C,Morning,Team A,93,93,12.06,17.24,3.43,1,0,92,1.08,100.0,29.3,98.28
2026-01-26,Packaging,Product C,Evening,Team B,106,104,14.57,0.0,9.91,0,0,104,0.0,98.11,14.57,95.04
2026-01-06,Inspection,Product A,Morning,Team A,92,85,16.26,2.97,4.31,1,1,83,1.18,92.39,19.23,97.84
2026-02-20,Inspection,Product A,Evening,Team A,109,107,15.46,10.04,12.18,0,0,107,0.0,98.17,25.5,93.91
2026-01-23,Cutting,Product C,Evening,Team B,92,89,10.15,11.12,7.3,0,0,89,0.0,96.74,21.27,96.35
2026-03-13,Packaging,Product B,Morning,Team A,90,88,7.06,4.26,8.82,0,0,88,0.0,97.78,11.32,95.59
2026-02-22,Cutting,Product A,Morning,Team B,91,94,12.74,7.29,9.75,2,1,91,2.13,103.3,20.03,95.12
2026-03-12,Assembly,Product A,Night,Team B,93,85,21.88,14.75,27.44,2,0,83,2.35,91.4,36.63,86.28
2026-02-27,Cutting,Product B,Evening,Team C,114,112,10.48,2.29,0.0,0,0,112,0.0,98.25,12.77,100.0
2026-02-09,Inspection,Product B,Evening,Team D,90,84,12.75,3.71,3.14,0,0,84,0.0,93.33,16.46,98.43
2026-03-19,Cutting,Product B,Evening,Team D,91,94,14.5,0.0,5.5,0,0,94,0.0,103.3,14.5,97.25
2026-02-12,Packaging,Product C,Morning,Team B,119,121,8.22,4.47,6.95,2,1,118,1.65,101.68,12.69,96.52
2026-03-27,Inspection,Product B,Morning,Team B,106,105,7.63,0.0,8.35,0,0,105,0.0,99.06,7.63,95.82
2026-03-31,Cutting,Product A,Evening,Team D,87,83,12.11,0.0,12.75,1,1,81,1.2,95.4,12.11,93.62
2026-02-23,Cutting,Product B,Morning,Team A,115,114,9.46,2.85,7.32,0,0,114,0.0,99.13,12.31,96.34
2026-03-02,Cutting,Product A,Evening,Team C,87,85,11.09,1.67,3.21,0,0,85,0.0,97.7,12.76,98.4
2026-01-24,Inspection,Product A,Evening,Team B,86,78,12.81,9.59,10.33,0,1,77,0.0,90.7,22.4,94.84
2026-03-15,Packaging,Product A,Evening,Team A,98,97,8.4,5.22,8.36,0,0,97,0.0,98.98,13.62,95.82
2026-03-02,Cutting,Product A,Evening,Team C,108,103,12.74,8.58,10.95,1,1,101,0.97,95.37,21.32,94.52
2026-03-23,Packaging,Product B,Morning,Team B,87,83,5.63,7.01,18.27,0,0,83,0.0,95.4,12.64,90.86
2026-01-25,Cutting,Product A,Morning,Team A,110,112,9.86,9.56,4.99,0,0,112,0.0,101.82,19.42,97.5
2026-03-12,Packaging,Product A,Morning,Team C,86,90,10.5,3.99,6.56,1,1,88,1.11,104.65,14.49,96.72
2026-02-12,Packaging,Product B,Evening,Team A,112,115,7.65,5.21,9.56,2,3,110,1.74,102.68,12.86,95.22
2026-01-17,Inspection,Product B,Morning,Team C,83,80,9.46,10.05,11.86,0,1,79,0.0,96.39,19.51,94.07
2026-01-16,Inspection,Product B,Morning,Team A,99,95,14.47,8.57,9.0,1,0,94,1.05,95.96,23.04,95.5
2026-02-20,Packaging,Product C,Morning,Team B,106,103,11.47,2.41,0.0,1,0,102,0.97,97.17,13.88,100.0
2026-01-29,Cutting,Product B,Morning,Team D,90,82,10.9,3.67,5.93,0,0,82,0.0,91.11,14.57,97.04
2026-01-10,Cutting,Product A,Evening,Team A,105,106,6.69,1.73,2.56,1,0,105,0.94,100.95,8.42,98.72
2026-02-08,Cutting,Product B,Morning,Team D,108,104,12.55,6.69,0.0,0,0,104,0.0,96.3,19.24,100.0
2026-02-28,Assembly,Product B,Night,Team C,106,97,24.65,17.4,25.93,2,1,94,2.06,91.51,42.05,87.04
2026-01-29,Inspection,Product A,Morning,Team D,96,98,13.68,5.35,5.72,0,0,98,0.0,102.08,19.03,97.14
2026-03-27,Inspection,Product A,Evening,Team A,111,112,11.05,5.35,15.5,0,1,111,0.0,100.9,16.4,92.25
2026-03-12,Packaging,Product A,Morning,Team C,109,108,6.45,0.0,10.61,0,0,108,0.0,99.08,6.45,94.7
2026-02-16,Cutting,Product B,Morning,Team D,93,92,10.03,8.92,3.58,0,0,92,0.0,98.92,18.95,98.21
2026-03-26,Inspection,Product A,Night,Team D,110,95,13.85,14.68,17.65,2,3,90,2.11,86.36,28.53,91.18
2026-02-08,Cutting,Product A,Night,Team A,117,100,12.41,6.11,1.61,3,3,94,3.0,85.47,18.52,99.2
2026-01-13,Assembly,Product C,Night,Team D,113,85,24.05,28.68,25.2,0,0,85,0.0,75.22,52.73,87.4
2026-01-04,Inspection,Product C,Morning,Team A,110,106,12.02,5.76,14.39,0,0,106,0.0,96.36,17.78,92.8
